,Image,F1,Jaccard,Recall,Precision
149,1013.png,0.8956228956228958,0.8109756097560976,0.8866666666666667,0.9047619047619048
150,777.png,0.6792662590327959,0.5143097643097643,0.953198127925117,0.5276338514680483
151,2995.png,0.8198232808298118,0.6946614583333334,0.8832781456953642,0.7648745519713261
152,2992.png,0.9663994542043323,0.934983498349835,0.9606646320786707,0.9722031571722718
153,1968.png,0.896989966555184,0.8132201334141904,0.9141104294478528,0.8804990151017729
154,1191.png,0.9224422442244223,0.8560490045941807,0.9490662139219015,0.8972712680577849
155,2956.png,0.8522336769759451,0.7425149700598802,0.7560975609756098,0.9763779527559056
156,2187.png,0.9316596931659692,0.8720626631853786,0.9597701149425287,0.9051490514905149
157,2248.png,0.8206724782067247,0.6958817317845829,0.7421171171171171,0.9178272980501393
158,1452.png,0.9317943336831059,0.8722986247544204,0.896969696969697,0.9694323144104804
159,2525.png,0.7000720980533527,0.5385468663338879,0.6950608446671439,0.7051561365286856
160,1108.png,0.7380352644836272,0.5848303393213573,0.7288557213930348,0.7474489795918368
161,2787.png,0.6603837091888254,0.492964824120603,0.613125,0.7155361050328227
162,602.png,0.8185776487663279,0.6928746928746928,0.6928746928746928,1.0
163,227.png,0.8538205980066444,0.744927536231884,0.948339483394834,0.7764350453172205
164,1567.png,0.9158878504672898,0.8448275862068966,0.8596491228070176,0.98
165,1076.png,0.0265441551812149,0.013450594930160372,0.013562858633281168,0.6190476190476191
166,2565.png,0.9543568464730291,0.9126984126984127,0.9314434480763668,0.9784260103312064
167,1075.png,0.0032930845225027437,0.0016492578339747114,0.001694915254237288,0.057692307692307696
168,824.png,0.22366710013003901,0.1259150805270864,0.1259150805270864,1.0
169,2543.png,0.9473684210526314,0.9,0.9987244897959183,0.9010356731875719
170,460.png,0.9581939799331104,0.9197431781701445,0.9362745098039216,0.9811643835616438
171,1751.png,0.9573643410852712,0.9182156133828996,0.95,0.96484375
172,1390.png,0.9397590361445782,0.8863636363636364,0.892328398384926,0.9925149700598802
173,754.png,0.6204869857262805,0.4497869750456482,0.4536525475751995,0.9814077025232404
174,117.png,0.549520766773163,0.3788546255506608,0.39284354777312525,0.9140832595217007
175,941.png,0.841105354058722,0.7257824143070045,0.8296422487223168,0.8528896672504378
176,347.png,0.9548596990646604,0.9136186770428015,0.9407051282051282,0.9694467382328654
177,247.png,0.8480874316939889,0.7362428842504743,0.9675810473815462,0.754863813229572
178,837.png,0.44444444444444436,0.2857142857142857,0.3105022831050228,0.7816091954022989
179,1225.png,0.6130653266331658,0.4420289855072464,0.7770700636942676,0.5062240663900415
180,1428.png,0.9678111587982834,0.9376299376299376,0.9514767932489452,0.9847161572052402
181,2926.png,0.0,0.0,0.0,0.0
182,1774.png,0.8466548253404381,0.7340862422997947,0.975443383356071,0.747907949790795
183,2107.png,0.7358229598893499,0.5820568927789934,0.6073059360730594,0.9333333333333333
184,552.png,0.9383215369059656,0.8838095238095238,0.9586776859504132,0.9188118811881189
185,925.png,0.9716475095785441,0.9448584202682563,0.9694189602446484,0.9738863287250384
186,284.png,0.0,0.0,0.0,0.0
187,2780.png,0.18461538461538463,0.1016949152542373,0.1016949152542373,1.0
188,860.png,0.8864373783257624,0.796037296037296,0.8073286052009456,0.9827338129496402
189,375.png,0.9783072546230441,0.9575356769926906,0.9821492324169939,0.9744952178533475
190,834.png,0.8514851485148515,0.7413793103448276,0.8907142857142857,0.815565729234794
191,2642.png,0.0,0.0,0.0,0.0
192,1375.png,0.788874841972187,0.651356993736952,1.0,0.651356993736952
193,681.png,0.9806782334384857,0.9620889748549323,0.9853407290015848,0.9760596546310832
194,384.png,0.9745845552297164,0.9504289799809342,0.9930278884462151,0.9568138195777351
195,2154.png,0.0,0.0,0.0,0.0
196,1657.png,0.9258160237388724,0.861878453038674,0.968944099378882,0.8863636363636364
197,69.png,0.9586056644880174,0.9205020920502092,0.9777777777777777,0.9401709401709402
198,1568.png,0.9082774049217002,0.8319672131147541,0.9398148148148148,0.8787878787878788
199,222.png,0.9776813391196528,0.9563371740448757,0.9680785758133824,0.9874765184721352
200,269.png,0.9366391184573004,0.8808290155440415,0.96045197740113,0.9139784946236559
201,3041.png,0.528,0.358695652173913,0.38823529411764707,0.825
202,1043.png,0.9342657342657343,0.8766404199475065,0.8942436412315931,0.9780380673499268
203,2479.png,0.781706379707917,0.6416403785488959,0.8692307692307693,0.710195530726257
204,2550.png,0.6155157715260017,0.4445812807881773,0.6623853211009174,0.5748407643312102
205,393.png,0.0,0.0,0.0,0.0
206,110.png,0.7550077041602465,0.6064356435643564,0.6242038216560509,0.9551656920077972
207,3033.png,0.9123358401616343,0.8388028895768834,0.8521702663032082,0.9816425120772947
208,2233.png,0.7595588235294117,0.6123295791345584,0.8702611625947767,0.6738421395955643
209,2965.png,0.40440923182914223,0.25345423143350604,0.2622877569258266,0.8827067669172932
210,581.png,0.9773790951638065,0.9557589626239512,0.985062893081761,0.9698142414860681
211,1089.png,0.8572961373390559,0.7502347417840376,0.7559129612109745,0.990086741016109
212,2627.png,0.05372405372405373,0.027603513174404015,0.027603513174404015,1.0
213,1411.png,0.9381443298969072,0.883495145631068,0.9254237288135593,0.9512195121951219
214,244.png,0.9653136531365315,0.9329529243937232,0.9383070301291249,0.993920972644377
215,2609.png,0.6961946350592638,0.5339712918660288,0.5339712918660288,1.0
216,855.png,0.7919543680576403,0.6555666003976143,0.9564902102973168,0.6757172131147541
217,2909.png,0.8906605922551253,0.8028747433264887,0.8612334801762115,0.9221698113207547
218,1207.png,0.9102564102564101,0.8352941176470589,0.8711656441717791,0.9530201342281879
219,2593.png,0.9247311827956989,0.86,0.9242579324462641,0.9252049180327869
220,184.png,0.6141607000795545,0.4431687715269805,0.908235294117647,0.4639423076923077
221,2060.png,0.0,0.0,0.0,0.0
222,159.png,0.8301350390902631,0.7095990279465371,0.7250155183116077,0.970906068162926
223,512.png,0.9767561983471075,0.9545683997980817,0.9633214467651554,0.9905709795704557
224,2732.png,0.6678966789667897,0.5013850415512465,0.6350877192982456,0.7042801556420234
225,2994.png,0.0,0.0,0.0,0.0
226,2394.png,0.5403288958496476,0.3701716738197425,0.4126794258373206,0.782312925170068
227,1420.png,0.9336188436830836,0.8755020080321285,0.8861788617886179,0.9864253393665159
228,1814.png,0.7813021702838063,0.6410958904109589,0.9790794979079498,0.65
229,782.png,0.9323394495412844,0.8732545649838883,0.972488038277512,0.8953744493392071
230,1437.png,0.8792165397170838,0.7844660194174757,0.988984088127295,0.791380999020568
231,2300.png,0.3637557452396586,0.22231139646869985,1.0,0.22231139646869985
232,2801.png,0.8895184135977336,0.8010204081632653,0.9540850776502363,0.8331367924528302
233,2418.png,0.9004019651630193,0.8188464662875711,0.8215158924205379,0.9960474308300395
234,1955.png,0.8237037037037037,0.7002518891687658,0.7073791348600509,0.9858156028368794
235,1342.png,0.9131437355880091,0.8401697312588402,0.84375,0.9949748743718593
236,1585.png,0.9565217391304348,0.9166666666666666,0.9868522815158546,0.928
237,6.png,0.7370786516853932,0.5836298932384342,0.5878136200716846,0.9879518072289156
238,718.png,0.7451654490760636,0.5938356164383561,0.6029207232267038,0.9752530933633295
239,437.png,0.7232142857142858,0.5664335664335665,0.9878048780487805,0.5704225352112676
